id,name,uni_id,uni_name,notability,link,image_link,wiki_link,genre,gender
HIMYM1,Ted Mosby,HIMYM,How I Met Your Mother,63.7,https://openpsychometrics.org/tests/characters/stats/HIMYM/1,https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/1.jpg,https://en.wikipedia.org/wiki/Ted_Mosby,"sitcom,comedy,drama",m
GOT2,Tyrion Lannister,GOT,Game of Thrones,90.8,https://openpsychometrics.org/tests/characters/stats/GOT/2,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/2.jpg,https://en.wikipedia.org/wiki/Tyrion_Lannister,"action,adventure,fantasy,drama,tragedy",m
GOT5,Arya Stark,GOT,Game of Thrones,90,https://openpsychometrics.org/tests/characters/stats/GOT/5,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/5.jpg,https://en.wikipedia.org/wiki/Arya_Stark,"action,adventure,fantasy,drama,tragedy",f
GOT3,Daenerys Targaryen,GOT,Game of Thrones,86.8,https://openpsychometrics.org/tests/characters/stats/GOT/3,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/3.jpg,https://en.wikipedia.org/wiki/Daenerys_Targaryen,"action,adventure,fantasy,drama,tragedy",f
GOT1,Jon Snow,GOT,Game of Thrones,86.7,https://openpsychometrics.org/tests/characters/stats/GOT/1,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/1.jpg,https://en.wikipedia.org/wiki/Jon_Snow_(character),"action,adventure,fantasy,drama,tragedy",m
GOT27,Cersei Lannister,GOT,Game of Thrones,82.4,https://openpsychometrics.org/tests/characters/stats/GOT/27,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/27.jpg,https://en.wikipedia.org/wiki/Cersei_Lannister,"action,adventure,fantasy,drama,tragedy",f
GOT12,Eddard Stark,GOT,Game of Thrones,81.4,https://openpsychometrics.org/tests/characters/stats/GOT/12,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/12.jpg,https://en.wikipedia.org/wiki/Ned_Stark,"action,adventure,fantasy,drama,tragedy",m
GOT14,Brienne of Tarth,GOT,Game of Thrones,79.1,https://openpsychometrics.org/tests/characters/stats/GOT/14,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/14.jpg,https://en.wikipedia.org/wiki/Brienne_of_Tarth,"action,adventure,fantasy,drama,tragedy",f
GOT15,Sandor Clegane,GOT,Game of Thrones,76.8,https://openpsychometrics.org/tests/characters/stats/GOT/15,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/15.jpg,https://en.wikipedia.org/wiki/Sandor_Clegane,"action,adventure,fantasy,drama,tragedy",m
GOT4,Sansa Stark,GOT,Game of Thrones,76.3,https://openpsychometrics.org/tests/characters/stats/GOT/4,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/4.jpg,https://en.wikipedia.org/wiki/Sansa_Stark,"action,adventure,fantasy,drama,tragedy",f
GOT25,Olenna Tyrell,GOT,Game of Thrones,75.9,https://openpsychometrics.org/tests/characters/stats/GOT/25,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/25.jpg,https://en.wikipedia.org/wiki/Olenna_Tyrell,"action,adventure,fantasy,drama,tragedy",f
GOT6,Jaime Lannister,GOT,Game of Thrones,75,https://openpsychometrics.org/tests/characters/stats/GOT/6,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/6.jpg,https://en.wikipedia.org/wiki/Jaime_Lannister,"action,adventure,fantasy,drama,tragedy",m
GOT16,Varys,GOT,Game of Thrones,74.6,https://openpsychometrics.org/tests/characters/stats/GOT/16,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/16.jpg,https://en.wikipedia.org/wiki/Varys,"action,adventure,fantasy,drama,tragedy",m
GOT7,Samwell Tarly,GOT,Game of Thrones,73.4,https://openpsychometrics.org/tests/characters/stats/GOT/7,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/7.jpg,https://en.wikipedia.org/wiki/Samwell_Tarly,"action,adventure,fantasy,drama,tragedy",m
GOT18,Tywin Lannister,GOT,Game of Thrones,72.3,https://openpsychometrics.org/tests/characters/stats/GOT/18,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/18.jpg,https://en.wikipedia.org/wiki/Tywin_Lannister,"action,adventure,fantasy,drama,tragedy",m
GOT11,Davos Seaworth,GOT,Game of Thrones,71.4,https://openpsychometrics.org/tests/characters/stats/GOT/11,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/11.jpg,https://en.wikipedia.org/wiki/Davos_Seaworth,"action,adventure,fantasy,drama,tragedy",m
GOT20,Robb Stark,GOT,Game of Thrones,70,https://openpsychometrics.org/tests/characters/stats/GOT/20,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/20.jpg,https://en.wikipedia.org/wiki/Robb_Stark,"action,adventure,fantasy,drama,tragedy",m
GOT13,Brandon Stark,GOT,Game of Thrones,65.1,https://openpsychometrics.org/tests/characters/stats/GOT/13,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/13.jpg,https://en.wikipedia.org/wiki/Bran_Stark,"action,adventure,fantasy,drama,tragedy",m
GOT26,Ygritte,GOT,Game of Thrones,64.7,https://openpsychometrics.org/tests/characters/stats/GOT/26,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/26.jpg,https://en.wikipedia.org/wiki/List_of_A_Song_of_Ice_and_Fire_characters#Ygritte,"action,adventure,fantasy,drama,tragedy",f
GOT24,Melisandre,GOT,Game of Thrones,64.5,https://openpsychometrics.org/tests/characters/stats/GOT/24,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/24.jpg,https://en.wikipedia.org/wiki/Melisandre,"action,adventure,fantasy,drama,tragedy",f
GOT8,Jorah Mormont,GOT,Game of Thrones,63.6,https://openpsychometrics.org/tests/characters/stats/GOT/8,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/8.jpg,https://en.wikipedia.org/wiki/List_of_A_Song_of_Ice_and_Fire_characters#Jeor_Mormont,"action,adventure,fantasy,drama,tragedy",m
GOT17,Catelyn Stark,GOT,Game of Thrones,62,https://openpsychometrics.org/tests/characters/stats/GOT/17,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/17.jpg,https://en.wikipedia.org/wiki/Catelyn_Stark,"action,adventure,fantasy,drama,tragedy",f
GOT10,Petyr Baelish,GOT,Game of Thrones,61.6,https://openpsychometrics.org/tests/characters/stats/GOT/10,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/10.jpg,https://en.wikipedia.org/wiki/List_of_Game_of_Thrones_characters#Petyr_%22Littlefinger%22_Baelish,"action,adventure,fantasy,drama,tragedy",m
GOT19,Margaery Tyrell,GOT,Game of Thrones,60.8,https://openpsychometrics.org/tests/characters/stats/GOT/19,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/19.jpg,https://en.wikipedia.org/wiki/Margaery_Tyrell,"action,adventure,fantasy,drama,tragedy",f
GOT30,Asha Greyjoy,GOT,Game of Thrones,58.7,https://openpsychometrics.org/tests/characters/stats/GOT/30,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/30.jpg,https://awoiaf.westeros.org/index.php/Asha_Greyjoy,"action,adventure,fantasy,drama,tragedy",f
GOT9,Theon Greyjoy,GOT,Game of Thrones,52.9,https://openpsychometrics.org/tests/characters/stats/GOT/9,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/9.jpg,https://en.wikipedia.org/wiki/Theon_Greyjoy,"action,adventure,fantasy,drama,tragedy",m
GOT29,Oberyn Martell,GOT,Game of Thrones,52.6,https://openpsychometrics.org/tests/characters/stats/GOT/29,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/29.jpg,https://en.wikipedia.org/wiki/Oberyn_Martell,"action,adventure,fantasy,drama,tragedy",m
GOT21,Bronn,GOT,Game of Thrones,52.3,https://openpsychometrics.org/tests/characters/stats/GOT/21,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/21.jpg,https://en.wikipedia.org/wiki/List_of_A_Song_of_Ice_and_Fire_characters#Bronn,"action,adventure,fantasy,drama,tragedy",m
GOT23,Joffrey Baratheon,GOT,Game of Thrones,44.3,https://openpsychometrics.org/tests/characters/stats/GOT/23,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/23.jpg,https://en.wikipedia.org/wiki/Joffrey_Baratheon,"action,adventure,fantasy,drama,tragedy",m
GOT28,Shae,GOT,Game of Thrones,40.5,https://openpsychometrics.org/tests/characters/stats/GOT/28,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/28.jpg,https://en.wikipedia.org/wiki/List_of_Game_of_Thrones_characters#Shae,"action,adventure,fantasy,drama,tragedy",f
GOT22,Stannis Baratheon,GOT,Game of Thrones,39.2,https://openpsychometrics.org/tests/characters/stats/GOT/22,https://openpsychometrics.org/tests/characters/test-resources/pics/GOT/22.jpg,https://en.wikipedia.org/wiki/Stannis_Baratheon,"action,adventure,fantasy,drama,tragedy",m
FUTR2,Turanga Leela,FUTR,Futurama,90,https://openpsychometrics.org/tests/characters/stats/FUTR/2,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/2.jpg,https://en.wikipedia.org/wiki/Leela_(Futurama),"comedy,animation,sitcom,science fiction,drama",f
FUTR4,Professor Hubert J. Farnsworth,FUTR,Futurama,72.1,https://openpsychometrics.org/tests/characters/stats/FUTR/4,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/4.jpg,https://en.wikipedia.org/wiki/Professor_Farnsworth,"comedy,animation,sitcom,science fiction,drama",m
FUTR3,Bender Bending Rodriguez,FUTR,Futurama,68.2,https://openpsychometrics.org/tests/characters/stats/FUTR/3,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/3.jpg,https://en.wikipedia.org/wiki/Bender_(Futurama),"comedy,animation,sitcom,science fiction,drama",o
FUTR1,Philip J. Fry,FUTR,Futurama,67.4,https://openpsychometrics.org/tests/characters/stats/FUTR/1,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/1.jpg,https://en.wikipedia.org/wiki/Philip_J._Fry,"comedy,animation,sitcom,science fiction,drama",m
FUTR5,Amy Wong,FUTR,Futurama,59.6,https://openpsychometrics.org/tests/characters/stats/FUTR/5,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/5.jpg,https://en.wikipedia.org/wiki/List_of_Futurama_characters#Amy_Wong,"comedy,animation,sitcom,science fiction,drama",f
FUTR10,Carol 'Mom' Miller,FUTR,Futurama,54.4,https://openpsychometrics.org/tests/characters/stats/FUTR/10,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/10.jpg,https://en.wikipedia.org/wiki/List_of_Futurama_characters#Mom,"comedy,animation,sitcom,science fiction,drama",f
FUTR6,Hermes Conrad,FUTR,Futurama,50.8,https://openpsychometrics.org/tests/characters/stats/FUTR/6,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/6.jpg,https://en.wikipedia.org/wiki/List_of_Futurama_characters#Hermes_Conrad,"comedy,animation,sitcom,science fiction,drama",m
FUTR7,Dr. John A. Zoidberg,FUTR,Futurama,40.9,https://openpsychometrics.org/tests/characters/stats/FUTR/7,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/7.jpg,https://en.wikipedia.org/wiki/Zoidberg,"comedy,animation,sitcom,science fiction,drama",m
FUTR9,Kif Kroker,FUTR,Futurama,37.8,https://openpsychometrics.org/tests/characters/stats/FUTR/9,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/9.jpg,https://en.wikipedia.org/wiki/List_of_Futurama_characters#Kif_Kroker,"comedy,animation,sitcom,science fiction,drama",m
FUTR8,Zapp Brannigan,FUTR,Futurama,24.5,https://openpsychometrics.org/tests/characters/stats/FUTR/8,https://openpsychometrics.org/tests/characters/test-resources/pics/FUTR/8.jpg,https://en.wikipedia.org/wiki/List_of_Futurama_characters#Zapp_Brannigan,"comedy,animation,sitcom,science fiction,drama",m
TO3,Jim Halpert,TO,The Office,85.9,https://openpsychometrics.org/tests/characters/stats/TO/3,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/3.jpg,https://en.wikipedia.org/wiki/Jim_Halpert,"comedy,sitcom",m
TO2,Dwight Schrute,TO,The Office,80.8,https://openpsychometrics.org/tests/characters/stats/TO/2,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/2.jpg,https://en.wikipedia.org/wiki/Dwight_Schrute,"comedy,sitcom",m
TO4,Pam Beesly,TO,The Office,80.4,https://openpsychometrics.org/tests/characters/stats/TO/4,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/4.jpg,https://en.wikipedia.org/wiki/Pam_Beesly,"comedy,sitcom",f
TO1,Michael Scott,TO,The Office,79,https://openpsychometrics.org/tests/characters/stats/TO/1,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/1.jpg,https://en.wikipedia.org/wiki/Michael_Scott_(The_Office),"comedy,sitcom",m
TO8,Stanley Hudson,TO,The Office,63.3,https://openpsychometrics.org/tests/characters/stats/TO/8,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/8.jpg,https://theoffice.fandom.com/wiki/Stanley_Hudson,"comedy,sitcom",m
TO11,Angela Martin,TO,The Office,54.6,https://openpsychometrics.org/tests/characters/stats/TO/11,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/11.jpg,https://en.wikipedia.org/wiki/Angela_Martin,"comedy,sitcom",f
TO9,Kevin Malone,TO,The Office,51,https://openpsychometrics.org/tests/characters/stats/TO/9,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/9.jpg,https://en.wikipedia.org/wiki/Kevin_Malone,"comedy,sitcom",m
TO12,Phyllis Lapin,TO,The Office,48.3,https://openpsychometrics.org/tests/characters/stats/TO/12,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/12.jpg,https://theoffice.fandom.com/wiki/Phyllis_Lapin,"comedy,sitcom",f
TO13,Kelly Kapoor,TO,The Office,45.8,https://openpsychometrics.org/tests/characters/stats/TO/13,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/13.jpg,https://en.wikipedia.org/wiki/Kelly_Kapoor,"comedy,sitcom",f
TO6,Andy Bernard,TO,The Office,40.4,https://openpsychometrics.org/tests/characters/stats/TO/6,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/6.jpg,https://en.wikipedia.org/wiki/Andy_Bernard,"comedy,sitcom",m
TO7,Jan Levinson,TO,The Office,39.7,https://openpsychometrics.org/tests/characters/stats/TO/7,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/7.jpg,https://en.wikipedia.org/wiki/Jan_Levinson,"comedy,sitcom",f
TO14,Kelly Erin Hannon,TO,The Office,39,https://openpsychometrics.org/tests/characters/stats/TO/14,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/14.jpg,https://en.wikipedia.org/wiki/Erin_Hannon,"comedy,sitcom",f
TO5,Ryan Howard,TO,The Office,35.5,https://openpsychometrics.org/tests/characters/stats/TO/5,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/5.jpg,https://en.wikipedia.org/wiki/Ryan_Howard_(The_Office),"comedy,sitcom",m
TO10,Meredith Palmer,TO,The Office,34,https://openpsychometrics.org/tests/characters/stats/TO/10,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/10.jpg,https://theoffice.fandom.com/wiki/Meredith_Palmer,"comedy,sitcom",f
TO15,Robert California,TO,The Office,32.4,https://openpsychometrics.org/tests/characters/stats/TO/15,https://openpsychometrics.org/tests/characters/test-resources/pics/TO/15.jpg,https://en.wikipedia.org/wiki/Robert_California,"comedy,sitcom",m
HP3,Hermione Granger,HP,Harry Potter,95,https://openpsychometrics.org/tests/characters/stats/HP/3,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/3.jpg,https://en.wikipedia.org/wiki/Hermione_Granger,fantasy,f
HP2,Harry Potter,HP,Harry Potter,88,https://openpsychometrics.org/tests/characters/stats/HP/2,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/2.jpg,https://en.wikipedia.org/wiki/Harry_Potter_(character),fantasy,m
HP5,Albus Dumbledore,HP,Harry Potter,87.8,https://openpsychometrics.org/tests/characters/stats/HP/5,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/5.jpg,https://en.wikipedia.org/wiki/Albus_Dumbledore,fantasy,m
HP6,Minerva McGonagall,HP,Harry Potter,87,https://openpsychometrics.org/tests/characters/stats/HP/6,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/6.jpg,https://en.wikipedia.org/wiki/Minerva_McGonagall,fantasy,f
HP30,Sirius Black,HP,Harry Potter,86.5,https://openpsychometrics.org/tests/characters/stats/HP/30,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/30.jpg,https://en.wikipedia.org/wiki/Sirius_Black,fantasy,m
HP4,Rubeus Hagrid,HP,Harry Potter,85.6,https://openpsychometrics.org/tests/characters/stats/HP/4,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/4.jpg,https://en.wikipedia.org/wiki/Rubeus_Hagrid,fantasy,m
HP12,Lord Voldemort,HP,Harry Potter,83,https://openpsychometrics.org/tests/characters/stats/HP/12,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/12.jpg,https://en.wikipedia.org/wiki/Lord_Voldemort,fantasy,m
HP7,Severus Snape,HP,Harry Potter,82,https://openpsychometrics.org/tests/characters/stats/HP/7,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/7.jpg,https://en.wikipedia.org/wiki/Severus_Snape,fantasy,m
HP1,Ron Weasley,HP,Harry Potter,81.7,https://openpsychometrics.org/tests/characters/stats/HP/1,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/1.jpg,https://en.wikipedia.org/wiki/Ron_Weasley,fantasy,m
HP20,Remus Lupin,HP,Harry Potter,81.2,https://openpsychometrics.org/tests/characters/stats/HP/20,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/20.jpg,https://en.wikipedia.org/wiki/Remus_Lupin,fantasy,m
HP27,Dobby,HP,Harry Potter,80,https://openpsychometrics.org/tests/characters/stats/HP/27,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/27.jpg,https://en.wikipedia.org/wiki/Magical_creatures_in_Harry_Potter#Dobby,fantasy,o
HP9,Luna Lovegood,HP,Harry Potter,74.1,https://openpsychometrics.org/tests/characters/stats/HP/9,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/9.jpg,https://en.wikipedia.org/wiki/Luna_Lovegood,fantasy,f
HP18,George Weasley,HP,Harry Potter,71.9,https://openpsychometrics.org/tests/characters/stats/HP/18,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/18.jpg,https://en.wikipedia.org/wiki/Fred_and_George_Weasley,fantasy,m
HP11,Molly Weasley,HP,Harry Potter,71.5,https://openpsychometrics.org/tests/characters/stats/HP/11,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/11.jpg,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fictional_organisation)#Molly_Weasley,fantasy,f
HP10,Draco Malfoy,HP,Harry Potter,70.5,https://openpsychometrics.org/tests/characters/stats/HP/10,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/10.jpg,https://en.wikipedia.org/wiki/Draco_Malfoy,fantasy,m
HP19,Alastor Moody,HP,Harry Potter,67.4,https://openpsychometrics.org/tests/characters/stats/HP/19,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/19.jpg,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fictional_organisation)#Alastor_%22Mad-Eye%22_Moody,fantasy,m
HP28,Bellatrix Lestrange,HP,Harry Potter,66.4,https://openpsychometrics.org/tests/characters/stats/HP/28,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/28.jpg,https://en.wikipedia.org/wiki/Bellatrix_Lestrange,fantasy,f
HP21,Arthur Weasley,HP,Harry Potter,62.3,https://openpsychometrics.org/tests/characters/stats/HP/21,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/21.jpg,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fictional_organisation)#Arthur_Weasley,fantasy,m
HP8,Ginny Weasley,HP,Harry Potter,61.4,https://openpsychometrics.org/tests/characters/stats/HP/8,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/8.jpg,https://en.wikipedia.org/wiki/Ginny_Weasley,fantasy,f
HP29,Nymphadora Tonks,HP,Harry Potter,60.9,https://openpsychometrics.org/tests/characters/stats/HP/29,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/29.jpg,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fictional_organisation)#Nymphadora_Tonks,fantasy,f
HP17,Horace Slughorn,HP,Harry Potter,46.9,https://openpsychometrics.org/tests/characters/stats/HP/17,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/17.jpg,https://en.wikipedia.org/wiki/Hogwarts_staff#Horace_Slughorn,fantasy,m
HP25,Moaning Myrtle,HP,Harry Potter,45.9,https://openpsychometrics.org/tests/characters/stats/HP/25,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/25.jpg,https://harrypotter.fandom.com/wiki/Myrtle_Warren,fantasy,f
HP14,Fleur Delacour,HP,Harry Potter,43.3,https://openpsychometrics.org/tests/characters/stats/HP/14,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/14.jpg,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fictional_organisation)#Fleur_Delacour,fantasy,f
HP16,Filius Flitwick,HP,Harry Potter,38.1,https://openpsychometrics.org/tests/characters/stats/HP/16,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/16.jpg,https://en.wikipedia.org/wiki/Hogwarts_staff#Filius_Flitwick,fantasy,m
HP15,Viktor Krum,HP,Harry Potter,36.4,https://openpsychometrics.org/tests/characters/stats/HP/15,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/15.jpg,https://harrypotter.fandom.com/wiki/Viktor_Krum,fantasy,m
HP13,Cho Chang,HP,Harry Potter,32.9,https://openpsychometrics.org/tests/characters/stats/HP/13,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/13.jpg,https://en.wikipedia.org/wiki/Dumbledore%27s_Army#Cho_Chang,fantasy,f
HP23,Dolores Umbridge,HP,Harry Potter,29.5,https://openpsychometrics.org/tests/characters/stats/HP/23,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/23.jpg,https://en.wikipedia.org/wiki/Dolores_Umbridge,fantasy,f
HP22,Cornelius Fudge,HP,Harry Potter,28.6,https://openpsychometrics.org/tests/characters/stats/HP/22,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/22.jpg,https://en.wikipedia.org/wiki/Ministry_of_Magic#Cornelius_Fudge,fantasy,m
HP24,Petunia Dursley,HP,Harry Potter,27.8,https://openpsychometrics.org/tests/characters/stats/HP/24,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/24.jpg,https://harrypotter.fandom.com/wiki/Petunia_Dursley,fantasy,f
HP26,Rita Skeeter,HP,Harry Potter,25,https://openpsychometrics.org/tests/characters/stats/HP/26,https://openpsychometrics.org/tests/characters/test-resources/pics/HP/26.jpg,https://harrypotter.fandom.com/wiki/Rita_Skeeter?so=search,fantasy,f
GA2,Cristina Yang,GA,Grey's Anatomy,90.8,https://openpsychometrics.org/tests/characters/stats/GA/2,https://openpsychometrics.org/tests/characters/test-resources/pics/GA/2.jpg,https://en.wikipedia.org/wiki/Cristina_Yang,"drama,comedy",f
GA6,Miranda Bailey,GA,Grey's Anatomy,90.6,https://openpsychometrics.org/tests/characters/stats/GA/6,https://openpsychometrics.org/tests/characters/test-resources/pics/GA/6.jpg,https://en.wikipedia.org/wiki/Miranda_Bailey,"drama,comedy",f
